episode_id,symbol,cik,name,sector,included_in_quality_universe,first_observed_month,last_observed_month,episode_start,episode_end,months_observed,legacy,legacy_class,current_symbols_for_cik,current_ciks_for_symbol,yahoo_symbol,download_error,raw_history_available,first_price_date,last_price_date,warmup_sessions,indicator_warmup_ready,expected_sessions,observed_sessions,session_coverage,terminal_price_present,short_episode_probe,passes
ANDV|0000050104|1|2017-08|1,ANDV,0000050104,Andeavor,Energy,True,2017-08,2018-09,2017-08-31,2018-09-30,14,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],ANDV,,True,2016-07-27,2018-10-01,277,True,272,271,0.9963235294117647,True,False,True
ANSS|0001013462|1|2017-06|1,ANSS,0001013462,Ansys,Information Technology,True,2017-06,2025-06,2017-06-30,2025-06-30,97,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],ANSS,EMPTY_DOWNLOAD,False,,,0,False,2010,0,0.0,False,False,False
ANTM|0001156039|1|2015-10|1,ANTM,0001156039,Anthem,Health Care,True,2015-10,2022-05,2015-10-31,2022-05-31,80,True,TICKER_OR_SHARE_CLASS_CHANGED,['ELV'],[],ANTM,EMPTY_DOWNLOAD,False,,,0,False,1656,0,0.0,False,False,False
APA|0000006769|1|2015-10|1,APA,0000006769,APA Corporation,Energy,True,2015-10,2022-07,2015-10-31,2022-07-31,82,True,ENTITY_CHANGED_OR_SYMBOL_REUSED,[],['0001841666'],APA,,True,2014-09-26,2022-09-09,277,True,1697,1697,1.0,True,False,True
APC|0000773910|1|2015-10|1,APC,0000773910,Anadarko Petroleum Corp,Energy,True,2015-10,2019-07,2015-10-31,2019-07-31,46,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],APC,EMPTY_DOWNLOAD,False,,,0,False,942,0,0.0,False,False,False
ARG|0000804212|1|2015-10|1,ARG,0000804212,Airgas Inc,Materials,True,2015-10,2016-04,2015-10-31,2016-04-30,7,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],ARG,EMPTY_DOWNLOAD,False,,,0,False,124,0,0.0,False,False,False
ARNC|0000004281|1|2016-11|1,ARNC,0000004281,Arconic Inc.,Industrials,True,2016-11,2020-03,2016-11-30,2020-03-31,41,True,TICKER_OR_SHARE_CLASS_CHANGED,['HWM'],[],ARNC,EMPTY_DOWNLOAD,False,,,0,False,838,0,0.0,False,False,False
ATVI|0000718877|1|2015-10|1,ATVI,0000718877,Activision Blizzard,Communication Services,True,2015-10,2023-09,2015-10-31,2023-09-30,96,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],ATVI,EMPTY_DOWNLOAD,False,,,0,False,1991,0,0.0,False,False,False
AVGO|0001441634|1|2015-10|1,AVGO,0001441634,Broadcom,Information Technology,True,2015-10,2019-04,2015-10-31,2019-04-30,43,True,ENTITY_CHANGED_OR_SYMBOL_REUSED,[],['0001730168'],AVGO,,True,2014-09-26,2019-06-07,277,True,878,878,1.0,True,False,True
AYI|0001144215|1|2016-05|1,AYI,0001144215,Acuity Brands Inc,Industrials,True,2016-05,2018-05,2016-05-31,2018-05-31,25,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],AYI,,True,2015-04-27,2018-07-10,276,True,505,505,1.0,True,False,True
BBBY|0000886158|1|2015-10|1,BBBY,0000886158,Bed Bath & Beyond,Consumer Discretionary,True,2015-10,2017-06,2015-10-31,2017-06-30,21,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],BBBY,,True,2014-09-26,2017-08-09,277,True,419,419,1.0,True,False,True
BBT|0000092230|0|2015-10|1,BBT,0000092230,BB&T Corporation,Financials,False,2015-10,2019-11,2015-10-31,2019-11-30,50,True,TICKER_OR_SHARE_CLASS_CHANGED,['TFC'],[],BBT,,True,2014-09-26,2020-01-09,277,True,1027,1027,1.0,True,False,True
BBWI|0000701985|1|2021-08|1,BBWI,0000701985,"Bath & Body Works, Inc.",Consumer Discretionary,True,2021-08,2024-08,2021-08-31,2024-08-31,37,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],BBWI,,True,2020-07-27,2024-10-10,277,True,755,755,1.0,True,False,True
BCR|0000009892|1|2015-10|1,BCR,0000009892,Bard (C.R.) Inc.,Health Care,True,2015-10,2017-12,2015-10-31,2017-12-31,27,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],BCR,EMPTY_DOWNLOAD,False,,,0,False,545,0,0.0,False,False,False
BF-B|0000014693|1|2015-10|1,BF-B,0000014693,Brown-Forman Corporation,Consumer Staples,True,2015-10,2017-01,2015-10-31,2017-01-31,16,True,TICKER_OR_SHARE_CLASS_CHANGED,['BF.B'],[],BF-B,,True,2014-09-26,2019-04-09,277,True,314,314,1.0,True,False,True
BF-B|0000014693|1|2018-11|2,BF-B,0000014693,Brown-Forman Corp.,Consumer Staples,True,2018-11,2018-11,2018-11-30,2018-11-30,1,True,TICKER_OR_SHARE_CLASS_CHANGED,['BF.B'],[],BF-B,,True,2014-09-26,2019-04-09,276,True,1,1,1.0,True,True,True
BF-B|0000014693|1|2019-01|3,BF-B,0000014693,Brown-Forman Corp.,Consumer Staples,True,2019-01,2019-02,2019-01-31,2019-02-28,2,True,TICKER_OR_SHARE_CLASS_CHANGED,['BF.B'],[],BF-B,,True,2014-09-26,2019-04-09,274,True,20,20,1.0,True,False,True
