month,month_end,symbols,names,sector,mapped_cik,mapping_method,status,resolved,provenance_complete,ratio,financial_period_end,filed,accession,form
2009-01,2009-01-31,BIIB,BIOGEN IDEC Inc.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BJS,BJ Services,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BDK,Black & Decker Corp.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,HRB,Block H&R,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BMC,BMC Software,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BA,Boeing Company,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BSX,Boston Scientific,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BMY,Bristol-Myers Squibb,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BRCM,Broadcom Corporation,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BF.B,Brown-Forman Corp.,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BNI,Burlington Northern Santa Fe C,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CHRW,C.H. Robinson Worldwide,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CA,CA Inc.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,COG,Cabot Oil & Gas,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CAM,Cameron International Corp.,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CPB,Campbell Soup,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CAH,Cardinal Health Inc.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CCL,Carnival Corp.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CAT,Caterpillar Inc.,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CBS,CBS Corp.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CELG,Celgene Corp.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CTX,Centex Corp.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CTL,Century Telephone,Telecommunications Services,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CF,CF Industries Holdings Inc,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CHK,Chesapeake Energy,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CVX,Chevron Corp.,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CIEN,Ciena Corp.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CI,CIGNA Corp.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CTAS,Cintas Corporation,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CSCO,Cisco Systems,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CTXS,Citrix Systems,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CLX,Clorox Co.,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,COH,Coach Inc.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,KO,Coca Cola Co.,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CCE,Coca-Cola Enterprises,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,CTSH,Cognizant Technology Solutions,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
